uri,start_date,start,end,Act Avg,Act Min,Act Max,Cadence Min,Cadence Max,Cadence Avg,HR Avg,HR Min,HR Max,BR Avg,BR Min,BR Max,Energy Avg,Energyecg Avg,Energy Min,Energy Max,Energy Total,Tidalvolume Avg,Tidalvolume Min,Tidalvolume Max,MV Avg,MV Min,MV Max,Tidalvolume Adjusted Avg,Tidalvolume Adjusted Min,Tidalvolume Adjusted Max,MV Adjusted Avg,MV Adjusted Min,MV Adjusted Max,Steps,Speed (moving) Avg,Speed Max,Speed Avg,Altitude Gain,Altitude Loss,Distance,HRV (HF),HRVHF Norm Min,HRVHF Norm Max,HRVLF Norm Avg,HRVLF Avg,HRVHF Avg,RMSSD,Total Sleep Time,Sleep Efficiency,VO2 max,Heart Rate Recovery,Sleep Percent,Time To Fall Asleep,Sleep REM Time,Sleep Non REM Time,Sleep Wake Time
na,na,na,na,g,g,g,spm,spm,spm,bpm,bpm,bpm,rpm,rpm,rpm,watt,watt,watt,watt,J,L,L,L,L/min,L/min,L/min,L,L,L,L/min,L/min,L/min,rep,m/s,m/s,m/s,m,m,m,%,%,%,%,ms^2,ms^2,ms,s,%,ml/kg*min,bpm,%,s,s,s,s
/api/record/257174/,2022-11-18 22:11:52,427215235072,427215619680,0.3883078231292517,0.015625,1.4921875,30.0,199.0,111.63608087091757,105.42743009320905,68,149,29.518641810918776,10.0,59.0,238.28779366389688,345.50510130740065,58.671632249999995,541.6099999999998,357908.2660831731,0.6011620602006689,0.09295999999999999,2.5497599999999996,17.591833899665552,3.2668799999999996,33.54528,0.4624323540005146,0.0715076923076923,1.9613538461538458,13.532179922819655,2.5129846153846147,25.80406153846154,2427,,,,0,0,0,,,,,,,0,,,,,,0,0,0,0
