uri,start_date,start,end,Act Avg,Act Min,Act Max,Cadence Min,Cadence Max,Cadence Avg,HR Avg,HR Min,HR Max,BR Avg,BR Min,BR Max,Energy Avg,Energyecg Avg,Energy Min,Energy Max,Energy Total,Tidalvolume Avg,Tidalvolume Min,Tidalvolume Max,MV Avg,MV Min,MV Max,Tidalvolume Adjusted Avg,Tidalvolume Adjusted Min,Tidalvolume Adjusted Max,MV Adjusted Avg,MV Adjusted Min,MV Adjusted Max,Steps,Speed (moving) Avg,Speed Max,Speed Avg,Altitude Gain,Altitude Loss,Distance,HRV (HF),HRVHF Norm Min,HRVHF Norm Max,HRVLF Norm Avg,HRVLF Avg,HRVHF Avg,RMSSD,Total Sleep Time,Sleep Efficiency,VO2 max,Heart Rate Recovery,Sleep Percent,Time To Fall Asleep,Sleep REM Time,Sleep Non REM Time,Sleep Wake Time
na,na,na,na,g,g,g,spm,spm,spm,bpm,bpm,bpm,rpm,rpm,rpm,watt,watt,watt,watt,J,L,L,L,L/min,L/min,L/min,L,L,L,L/min,L/min,L/min,rep,m/s,m/s,m/s,m,m,m,%,%,%,%,ms^2,ms^2,ms,s,%,ml/kg*min,bpm,%,s,s,s,s
/api/record/258061/,2022-12-03 00:09:00,427526691840,427527154224,0.35857489699823425,0.015625,1.20703125,30.0,156.0,104.3598820058997,112.37375415282392,60,206,22.69158361018826,10.0,64.0,547.7195412691184,604.0032452515179,91.7217461,1536.101666666667,989181.4915320278,2.0992592658509457,0.15935999999999997,24.58128,45.639299356270804,9.2296,189.75791999999998,2.7128888974073755,0.20594215384615383,31.766577230769233,58.98001762964226,11.927483076923076,245.22561969230767,2435,,,,0,0,0,,,,,,,0,,,,,,0,0,0,0
