uri,start_date,start,end,Act Avg,Act Min,Act Max,Cadence Min,Cadence Max,Cadence Avg,HR Avg,HR Min,HR Max,BR Avg,BR Min,BR Max,Energy Avg,Energyecg Avg,Energy Min,Energy Max,Energy Total,Tidalvolume Avg,Tidalvolume Min,Tidalvolume Max,MV Avg,MV Min,MV Max,Tidalvolume Adjusted Avg,Tidalvolume Adjusted Min,Tidalvolume Adjusted Max,MV Adjusted Avg,MV Adjusted Min,MV Adjusted Max,Steps,Speed (moving) Avg,Speed Max,Speed Avg,Altitude Gain,Altitude Loss,Distance,HRV (HF),HRVHF Norm Min,HRVHF Norm Max,HRVLF Norm Avg,HRVLF Avg,HRVHF Avg,RMSSD,Total Sleep Time,Sleep Efficiency,VO2 max,Heart Rate Recovery,Sleep Percent,Time To Fall Asleep,Sleep REM Time,Sleep Non REM Time,Sleep Wake Time
na,na,na,na,g,g,g,spm,spm,spm,bpm,bpm,bpm,rpm,rpm,rpm,watt,watt,watt,watt,J,L,L,L,L/min,L/min,L/min,L,L,L,L/min,L/min,L/min,rep,m/s,m/s,m/s,m,m,m,%,%,%,%,ms^2,ms^2,ms,s,%,ml/kg*min,bpm,%,s,s,s,s
/api/record/258585/,2022-12-10 01:02:10,427682337280,427682812208,0.3045066550925926,0.015625,1.10546875,30.0,151.0,101.90177880897139,107.19838274932614,52,162,31.50943396226415,1.0,90.0,494.94937199678367,552.2556687290424,91.7217461,1071.1683333333333,918131.0850540337,1.044540442525634,0.09295999999999999,18.71152,25.300041187263894,3.75824,196.02607999999998,1.3498676488023578,0.12013292307692305,24.181041230769228,32.69543784200257,4.856802461538461,253.32601107692304,2285,,,,0,0,0,,,,,,,0,,,,,,0,0,0,0
